"TIPO CONTRIBUYENTE","SECCIÓN","GRUPO","MeasuresLevel","2020/01 Enero","2020/02 Febrero","2020/03 Marzo","2020/04 Abril","2020/05 Mayo","2020/06 Junio","2020/07 Julio","2020/08 Agosto","2020/09 Septiembre","2020/10 Octubre","2020/11 Noviembre","2020/12 Diciembre","2021/01 Enero","2021/02 Febrero","2021/03 Marzo","2021/04 Abril","2021/05 Mayo","2021/06 Junio","2021/07 Julio","2021/08 Agosto","2021/09 Septiembre","2021/10 Octubre","2021/11 Noviembre","2021/12 Diciembre","2022/01 Enero","2022/02 Febrero","2022/03 Marzo","2022/04 Abril","2022/05 Mayo","2022/06 Junio","2022/07 Julio","2022/08 Agosto","2022/09 Septiembre","2022/10 Octubre","2022/11 Noviembre","2022/12 Diciembre","2023/01 Enero","2023/02 Febrero","2023/03 Marzo","2023/04 Abril","2023/05 Mayo","2023/06 Junio","2023/07 Julio","2023/08 Agosto","2023/09 Septiembre","2023/10 Octubre","2023/11 Noviembre","2023/12 Diciembre","2024/01 Enero","2024/02 Febrero","2024/03 Marzo","2024/04 Abril","2024/05 Mayo","2024/06 Junio","2024/07 Julio","2024/08 Agosto","2024/09 Septiembre","2024/10 Octubre","2024/11 Noviembre","2024/12 Diciembre","2025/01 Enero","2025/02 Febrero","2025/03 Marzo","2025/04 Abril","2025/05 Mayo","2025/06 Junio","2025/07 Julio","2025/08 Agosto","2025/09 Septiembre","2025/10 Octubre","2025/11 Noviembre","2025/12 Diciembre","2026/01 Enero"
"NO TIENE","A","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","2180686.05","1368048.74","1330748.07","1911594.86","4635887.51","3154978.39","2748904.71","2590897.53","2048166.92","1846747.84","2505927.59","1359424.13","1661063.07","1187450.13","1553207.87","2365249.83","3588778.91","1729593.29","1830303.34","1587847.6","1358463.98","1609661.46","1342705.59","2197950.98","1457767.78","1006175.27","1647604.53","3413441.01","5280953.6","3005466.29","2648964.21","2556391.47","2277614.62","2202580.89","2046175.63","1883233.1","2208195.44","1450097.43","1756839.05","2697084.56","3181134.08","2215612.02","2067633.86","1869656.56","1641022.42","1759287.93","1417781.99","895035.36","1631097.6","1586063.14","1499669.5","3177772.63","2123620.31","1405051.36","1979469.53","1493180.09","1252916.22","1091461.35","1594831.95","1688917.46","2399237.12","853999.95","1179463.83","3634526.96","2696213.4","1917788.75","1429746.36","1653835.21","1723519.1","1509964.97","822508.95","661766.02","504339.41"
"NO TIENE","A","IMPUESTO A LOS CONSUMOS ESPECIALES","VALOR EFECTIVO","","","","","","","","","","","","106884.0","","","","0.72","","0.6","","","0.03","","","0.9","0.14","","","","","","20.0","0.4","0.11","","36.81","","40.0","","4.56","","24.02","0.07","2.6","","","","2.71","0.01","206602.95","0.05","","13.9","1.42","34.63","105.05","1.64","4.47","101.46","49.72","","16.85","15.72","4.22","","4.1","0.35","","17.71","","25.12","","",""
"NO TIENE","A","IMPUESTO A LOS VEHICULOS MOTORIZADOS","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","6.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","A","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","276221.75","192064.54","315566.36","114851.77","300090.08","385022.82","562007.45","669615.88","440500.95","588469.44","353526.42","274099.99","419174.15","245348.08","290301.06","405203.49","397642.53","366993.86","316131.65","358619.65","504041.64","388498.59","442558.71","494044.73","724840.4","544355.03","476156.63","676921.54","579788.87","422143.41","436032.84","425250.78","287430.0","506919.6","384986.33","334060.51","562940.98","303784.63","227681.46","327336.64","622990.62","451998.43","532428.81","426923.37","263626.91","328045.94","340473.87","184775.74","466494.36","360419.31","281668.19","610842.14","679437.21","392269.62","519953.72","1192016.52","330440.31","357908.31","322910.57","1186202.73","557113.32","337561.42","283477.02","322063.8","422156.3","271835.22","234467.57","307578.73","356292.04","295448.9","421024.64","328582.12","341835.89"
"NO TIENE","A","INTERESES TRIBUTARIOS","VALOR EFECTIVO","82657.61","46288.15","93530.86","72975.97","229814.45","157982.56","162083.9","180527.78","100315.66","110163.15","106617.79","84044.02","81181.62","89040.59","114148.06","141502.03","126552.18","93401.08","108904.09","67275.69","53465.57","72630.79","75678.59","41654.12","37886.84","32509.47","43970.9","106779.1","360166.06","225955.29","186476.71","145195.7","129844.17","92041.38","116042.01","80621.96","61514.42","70697.51","51115.54","78915.6","302657.91","222626.6","108000.51","91245.63","69448.71","116308.43","74409.46","36413.44","78009.74","37164.12","109466.51","94214.16","166221.33","183697.27","293011.05","96545.75","59147.8","60128.94","94093.7","60282.99","52895.33","41228.48","104748.34","120472.47","160506.38","108479.05","91152.23","128724.59","98947.34","73303.04","49108.23","89060.25","36810.26"
"NO TIENE","A","MULTAS TRIBUTARIAS","VALOR EFECTIVO","12791.35","7817.97","9882.85","15920.16","31762.09","14181.94","19170.93","13202.29","30135.88","26049.61","17626.61","13885.38","19884.96","15776.63","41022.02","49138.5","49887.25","53362.45","95611.16","182157.35","19916.0","18697.71","24235.0","31911.91","28790.02","25423.44","27887.86","43328.97","44894.26","30795.96","39840.17","25315.36","57688.33","32386.64","37224.37","47555.47","75846.96","24742.6","20801.35","50310.83","43249.71","39813.0","79391.7","33397.92","24358.82","19489.84","43418.27","21421.51","8308.25","5835.75","9585.22","14614.62","21260.7","15112.11","16133.91","29630.97","16186.2","9551.73","18947.09","12133.79","43177.85","26484.94","66873.19","33971.23","26903.8","25205.03","45475.07","22630.81","18640.62","24623.34","16577.13","19954.49","16633.17"
"NO TIENE","A","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","8994.12","25169.51","31023.51","19109.08","7060.0","17075.49","4904.89","4410.06","5972.02","6947.15","7279.98","7034.74","22797.63","7779.85","43665.08","20748.62","30333.25","86164.65","49532.11","5315.84","13737.25","9813.61","50535.84","13377.45","30463.79","6824.78","14902.72","15345.28","5656.44","5201.55","9048.14","98128.34","90641.98","114164.68","94865.6","115750.11","8310.69","5587.53","26004.22","11851.76","15924.96","19918.65","28593.26","9664.25","14680.74","10976.57","10050.99","3696.86","13689.85","17394.73","17140.15","9702.9","8631.9","10575.29","16121.58","16112.3","19513.73","8016.7","20073.31","13268.58","12997.98","14868.19","15916.47","13272.94","11138.44","7397.05","16384.61","18550.69","18470.09","20399.47","13879.24","14843.44","17468.84"
"NO TIENE","A","REGIMEN IMPOSITIVO SIMPLIFICADO","VALOR EFECTIVO","383281.73","240132.88","148994.57","76386.96","133852.26","215738.65","195872.27","182117.66","200112.47","187679.27","186857.94","166641.55","320471.53","285839.44","271202.49","200077.67","202159.28","217139.45","201735.65","206686.83","178583.26","164645.39","157314.17","161358.98","120097.65","77709.47","71102.85","40127.55","29793.48","30782.49","29607.06","21884.69","22802.99","22247.45","21872.57","20187.16","14684.41","10283.06","12069.38","10348.1","10553.97","9052.55","10592.86","10013.69","7856.75","7872.31","6068.58","4072.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","A","SALIDA DE DIVISAS","VALOR EFECTIVO","6811.51","2242.25","6412.76","26.19","1735.32","2270.97","9632.35","2833.24","4451.54","12160.1","13547.98","13218.04","15841.8","13888.53","14045.82","11589.05","4205.84","2143.73","1817.31","1772.31","1786.48","1803.62","1819.63","1833.3","1738.62","1904.44","983.66","544.86","566.53","310.74","78.08","","","970.99","","","2687.13","","","9689.44","","1533.1","5854.28","1511.41","2612.39","4994.81","1290.38","423.79","1622.68","996.38","35044.94","1456.48","676.98","266.14","7640.65","162.39","","","2195.75","0.01","","","","","16.76","4202.14","6233.99","2826.64","855.95","323.05","173.3","295.47","185.15"
"NO TIENE","B","CONTRIBUCIONES","VALOR EFECTIVO","440.74","","","2822.15","47558.71","46364.28","57499.0","647.44","653.39","2806.59","812.24","","1930.2","","1178.37","7182.23","51349.24","66278.37","68128.15","1498.49","907.4","4252.71","726.06","","","54.0","","681477.47","173655.29","214476.95","161640.94","154152.96","142427.94","177205.86","24259.46","373.48","198.14","","","","112362.02","100515.31","127794.17","119456.07","120606.96","121869.84","","","","","","70698.01","","","","","4212.25","","8241.87","","","","615725.88","92989.45","","8241.87","","","","","","",""
