"TIPO CONTRIBUYENTE","SECCIÓN","GRUPO","MeasuresLevel","2020/01 Enero","2020/02 Febrero","2020/03 Marzo","2020/04 Abril","2020/05 Mayo","2020/06 Junio","2020/07 Julio","2020/08 Agosto","2020/09 Septiembre","2020/10 Octubre","2020/11 Noviembre","2020/12 Diciembre","2021/01 Enero","2021/02 Febrero","2021/03 Marzo","2021/04 Abril","2021/05 Mayo","2021/06 Junio","2021/07 Julio","2021/08 Agosto","2021/09 Septiembre","2021/10 Octubre","2021/11 Noviembre","2021/12 Diciembre","2022/01 Enero","2022/02 Febrero","2022/03 Marzo","2022/04 Abril","2022/05 Mayo","2022/06 Junio","2022/07 Julio","2022/08 Agosto","2022/09 Septiembre","2022/10 Octubre","2022/11 Noviembre","2022/12 Diciembre","2023/01 Enero","2023/02 Febrero","2023/03 Marzo","2023/04 Abril","2023/05 Mayo","2023/06 Junio","2023/07 Julio","2023/08 Agosto","2023/09 Septiembre","2023/10 Octubre","2023/11 Noviembre","2023/12 Diciembre","2024/01 Enero","2024/02 Febrero","2024/03 Marzo","2024/04 Abril","2024/05 Mayo","2024/06 Junio","2024/07 Julio","2024/08 Agosto","2024/09 Septiembre","2024/10 Octubre","2024/11 Noviembre","2024/12 Diciembre","2025/01 Enero","2025/02 Febrero","2025/03 Marzo","2025/04 Abril","2025/05 Mayo","2025/06 Junio","2025/07 Julio","2025/08 Agosto","2025/09 Septiembre","2025/10 Octubre","2025/11 Noviembre","2025/12 Diciembre","2026/01 Enero"
"SOCIEDADES","O","IMPUESTO A LOS VEHICULOS MOTORIZADOS","VALOR RECAUDADO","8659.51","33500.4","9823.39","989.21","3924.78","11927.52","15376.65","8216.7","18818.12","9802.52","12188.46","13712.35","8400.01","25547.99","26629.05","15973.89","15506.36","22834.94","16422.48","8626.49","7242.75","5079.8","8496.51","9540.92","4990.58","33019.6","18988.97","20471.97","17628.83","22760.44","17667.62","10212.55","12808.73","5344.14","9557.82","9289.43","8400.66","31822.08","26269.34","17829.26","13494.72","16652.9","24969.3","12836.56","12876.4","13481.46","34423.62","8300.48","12661.07","28776.59","70974.91","23705.02","16039.16","15082.0","11226.66","14158.01","5556.23","9809.69","6202.15","14536.18","13031.62","40071.33","44150.31","35072.1","13296.0","13330.81","30337.73","20498.28","23837.99","22884.79","18727.62","23276.72","23793.35"
"SOCIEDADES","O","IMPUESTO AL VALOR AGREGADO","VALOR RECAUDADO","4.362432226E7","8852986.15","2.503451806E7","2.023220453E7","1.94609207E7","7624045.46","8036628.49","1.014958529E7","7.977534638E7","1.296996681E7","1.235366682E7","5.262734636E7","2.614056731E7","8067850.84","1.165304928E7","1.667160757E7","5.099282463E7","1.795976677E7","1.420191712E7","1.582861787E7","6.780789031E7","3.03627877E7","4.046957378E7","4.910325953E7","6.206893355E7","1.335089175E7","2.992407414E7","3.948494889E7","3.938994829E7","3.812083931E7","4.501115742E7","4.539074073E7","5.474318157E7","5.055488666E7","5.22987318E7","5.459577369E7","8.954664213E7","3.251667723E7","3.403830498E7","5.575826512E7","5.577967339E7","5.154863445E7","3.620913372E7","4.691797587E7","4.618084238E7","5.571589933E7","4.970933525E7","5.590842843E7","8.49414004E7","2.246353515E7","4.48327249E7","5.190409781E7","4.872394607E7","6.201703765E7","3.3478789064E8","7.189366181E7","6.309257265E7","5.347209405E7","7.189877349E7","7.130071215E7","1.0336181746E8","3.021669387E7","4.78252296E7","6.915426139E7","5.194469928E7","4.453656233E7","5.301275087E7","1.0337992418E8","5.14276006E7","4.937695392E7","6.06814162E7","8.323530556E7","1.1002531266E8"
"SOCIEDADES","O","IMPUESTOS FOMENTO AMBIENTAL","VALOR RECAUDADO","1413.58","4815.58","3288.52","46.0","70.64","2660.87","4614.14","1081.55","1724.93","719.14","673.35","7461.26","2036.84","1889.89","4372.9","695.01","2862.84","1155.33","3508.81","4476.6","716.31","83.54","1168.14","637.37","2328.46","3646.97","2301.78","914.61","1126.18","1387.75","1041.07","1588.45","2705.99","3174.18","805.92","4470.34","1065.12","1738.4","2003.05","359.64","591.55","80.7","340.86","313.01","299.95","170.41","720.58","306.49","447.55","0.0","81.95","18.4","664.71","342.71","1318.59","0.0","252.01","2112.31","120.13","0.0","15.76","0.0","0.0","4.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"SOCIEDADES","O","INTERESES TRIBUTARIOS","VALOR RECAUDADO","11703.3","96035.67","24292.5","10127.72","11218.51","23747.18","8133.08","11680.21","55074.86","26732.65","14398.44","19445.11","29711.4","57587.04","122220.81","18129.71","19764.07","26832.96","122009.63","21851.61","22873.92","32996.19","48072.49","7197.78","6319.38","3731.41","36880.44","16137.73","17361.7","34248.76","16292.28","10755.33","19880.65","8066.73","155617.97","12729.99","77963.82","27268.03","32060.66","39685.54","43957.74","40168.49","14747.21","42606.92","13953.54","14206.44","6149.49","13907.69","3844.96","2601.7","1934.19","4821.93","6033.91","2676.03","7441.68","7095.0","14533.22","22242.44","6464.47","66567.41","16614.85","5162.84","14366.82","9724.99","5047.3","24328.47","11211.5","7800.36","3899.32","53286.89","44647.17","6511.23","14634.26"
"SOCIEDADES","O","MULTAS TRIBUTARIAS","VALOR RECAUDADO","28742.06","146916.75","53639.89","110380.0","40890.97","53330.82","20624.07","15524.77","312368.23","55886.43","26065.6","62413.22","34778.62","55368.96","63461.58","46036.76","48417.82","53664.16","22233.15","49769.47","48772.92","74659.87","57805.74","20913.97","21845.65","17453.03","21545.75","31378.35","42544.81","36489.96","31714.98","25717.52","33938.47","21088.2","400436.71","21841.89","185934.05","40427.68","27636.44","40991.06","45191.35","187774.05","30841.25","72307.29","38009.4","24875.68","18105.91","19015.12","6560.66","9853.57","7343.82","16276.03","20773.03","9105.53","20694.78","16941.49","14292.4","17262.21","15496.54","45026.66","20065.25","10955.14","13434.93","24157.03","15862.68","63677.81","23664.04","16984.7","18219.56","15936.74","17696.75","13229.48","45407.41"
"SOCIEDADES","O","OTROS NO TRIBUTARIOS","VALOR RECAUDADO","240.0","180.0","60.0","240.0","30.0","0.0","0.0","600.0","287.24","414.0","0.0","60.0","0.0","439.08","30.0","1130216.95","60.0","440.0","850.0","226.5","1718.5","60.0","401.62","403.24","1009.8","40.0","104.62","158.42","731.62","453.48","711.22","3783.69","257.37","200.87","20.87","41.74","1397.61","150.87","1460.87","1430.87","270.87","19579.58","380.87","1235.87","3291.36","1721.74","1647.87","1301.61","390.02","141.56","340.01","0.0","1970.0","609.75","1440.0","251.62","670.0","600.0","1530.0","430.0","0.0","660.0","5221.62","83.25","138.85","0.0","1120.0","1320.0","1499.1","600.0","670.0","587.35","250.1"
"SOCIEDADES","O","SALIDA DE DIVISAS","VALOR RECAUDADO","1755.28","595377.59","987.39","892.42","332.93","425.04","595.62","344.47","67904.2005","880.79","1098.29","51662.75","1695.29","901.9","","2085.36","2663.96","271.61","159484.71","","40188.96","753.27","663.02","871.71","504.86","441.35","143818.25","427.69","272.4","559.58","145055.85","403.5","859.13","1370.42","825.48","218651.03","77486.28","39913.39","18294.54","846.71","248.63","20552.29","167.73","6891.12","12364.29","12845.77","334.42","158.19","495.74","464.82","589.92","456.81","528.81","665.48","402.57","795.29","461.06","461.75","31354.49","578.3","400.36","661.5","","","135.11","5885.64","601.88","","","147.64","","2376.09","381.15"
"SOCIEDADES","P","CONTRIBUCIONES","VALOR RECAUDADO","1121.7","11341.71","313330.93","18675.37","4732.52","962.91","1703.16","2774.48","2778.16","5823.18","5239.74","24123.95","14498.92","2107.24","302074.07","58580.54","4548.2","1737.19","3058.79","12709.21","1709.98","2200.0","6709.93","81.66","10805.66","16437.81","595756.69","32996.82","101986.32","11100.0","27669.77","29857.11","11200.0","23558.41","20290.66","6500.0","","","413994.55","","7239.98","26634.37","","6663.58","1200.0","2000.0","11.55","","22855.95","4505.94","403237.53","493329.31","15882.36","1002.35","1102.5","5631.37","3833.39","5279.55","17221.56","1163.58","314.81","0.0","815458.33","55551.8","","1512.21","2010.52","","","","1752.85","1299.17",""
"SOCIEDADES","P","DEPURACION","VALOR RECAUDADO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235341.79","276532.17","2323.72"
"SOCIEDADES","P","IMP ACTIVOS EN EL EXTERIOR","VALOR RECAUDADO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
